X,CH1,
Second,Volt,
-1.1901999e-01,-8.00000e-03,
-1.1900000e-01,-6.00000e-03,
-1.1898000e-01,-8.00000e-03,
-1.1896000e-01,-8.00000e-03,
-1.1893999e-01,-8.00000e-03,
-1.1891999e-01,-8.00000e-03,
-1.1889999e-01,-8.00000e-03,
-1.1888000e-01,-1.00000e-02,
-1.1886000e-01,-8.00000e-03,
-1.1884000e-01,-8.00000e-03,
-1.1881999e-01,-1.00000e-02,
-1.1879999e-01,-1.00000e-02,
-1.1877999e-01,-8.00000e-03,
-1.1876000e-01,-1.00000e-02,
-1.1874000e-01,-1.00000e-02,
-1.1871999e-01,-1.00000e-02,
-1.1869999e-01,-1.00000e-02,
-1.1867999e-01,-1.00000e-02,
-1.1866000e-01,-1.00000e-02,
-1.1864000e-01,-1.00000e-02,
-1.1862000e-01,-1.00000e-02,
-1.1859999e-01,-1.00000e-02,
-1.1857999e-01,-1.00000e-02,
-1.1855999e-01,-1.00000e-02,
-1.1854000e-01,-1.20000e-02,
-1.1852000e-01,-1.00000e-02,
-1.1850000e-01,-1.20000e-02,
-1.1847999e-01,-1.00000e-02,
-1.1845999e-01,-1.00000e-02,
-1.1843999e-01,-1.00000e-02,
-1.1842000e-01,-1.00000e-02,
-1.1840000e-01,-1.00000e-02,
-1.1837999e-01,-1.00000e-02,
-1.1835999e-01,-1.00000e-02,
-1.1833999e-01,-1.00000e-02,
-1.1832000e-01,-1.00000e-02,
-1.1830000e-01,-1.00000e-02,
-1.1828000e-01,-1.00000e-02,
-1.1825999e-01,-8.00000e-03,
-1.1823999e-01,-1.00000e-02,
-1.1821999e-01,-8.00000e-03,
-1.1820000e-01,-1.00000e-02,
-1.1818000e-01,-1.00000e-02,
-1.1815999e-01,-1.00000e-02,
-1.1813999e-01,-8.00000e-03,
-1.1811999e-01,-8.00000e-03,
-1.1809999e-01,-8.00000e-03,
-1.1808000e-01,-8.00000e-03,
-1.1806000e-01,-8.00000e-03,
-1.1803999e-01,-1.00000e-02,
-1.1801999e-01,-1.00000e-02,
-1.1799999e-01,-1.00000e-02,
-1.1798000e-01,-1.00000e-02,
-1.1796000e-01,-1.00000e-02,
-1.1794000e-01,-1.00000e-02,
-1.1791999e-01,-1.00000e-02,
-1.1789999e-01,-1.00000e-02,
-1.1787999e-01,-1.00000e-02,
-1.1786000e-01,-1.00000e-02,
-1.1784000e-01,-1.00000e-02,
-1.1781999e-01,-1.00000e-02,
-1.1779999e-01,-1.00000e-02,
-1.1777999e-01,-1.00000e-02,
-1.1776000e-01,-1.00000e-02,
-1.1774000e-01,-1.00000e-02,
-1.1772000e-01,-1.00000e-02,
-1.1769999e-01,-1.00000e-02,
-1.1767999e-01,-8.00000e-03,
-1.1765999e-01,-1.00000e-02,
-1.1764000e-01,-1.00000e-02,
-1.1762000e-01,-1.00000e-02,
-1.1760000e-01,-1.00000e-02,
-1.1757999e-01,-1.00000e-02,
-1.1755999e-01,-8.00000e-03,
-1.1753999e-01,-1.00000e-02,
-1.1752000e-01,-1.00000e-02,
-1.1750000e-01,-1.00000e-02,
-1.1747999e-01,-1.00000e-02,
-1.1745999e-01,-8.00000e-03,
-1.1743999e-01,-1.00000e-02,
-1.1742000e-01,-8.00000e-03,
-1.1740000e-01,-1.00000e-02,
-1.1738000e-01,-1.00000e-02,
-1.1735999e-01,-8.00000e-03,
-1.1733999e-01,-1.00000e-02,
-1.1731999e-01,-1.00000e-02,
-1.1730000e-01,-1.00000e-02,
-1.1728000e-01,-1.00000e-02,
-1.1726000e-01,-1.00000e-02,
-1.1723999e-01,-1.00000e-02,
-1.1721999e-01,-1.00000e-02,
-1.1719999e-01,-8.00000e-03,
-1.1718000e-01,-1.00000e-02,
-1.1716000e-01,-8.00000e-03,
-1.1713999e-01,-1.00000e-02,
-1.1711999e-01,-1.00000e-02,
-1.1709999e-01,-1.00000e-02,
-1.1708000e-01,-1.00000e-02,
-1.1706000e-01,-1.00000e-02,
-1.1704000e-01,-1.00000e-02,
-1.1701999e-01,-1.00000e-02,
-1.1699999e-01,-1.00000e-02,
-1.1697999e-01,-1.00000e-02,
-1.1696000e-01,-1.00000e-02,
-1.1694000e-01,-1.00000e-02,
-1.1691999e-01,-1.00000e-02,
-1.1689999e-01,-1.00000e-02,
-1.1687999e-01,-1.00000e-02,
-1.1685999e-01,-1.00000e-02,
-1.1684000e-01,-1.00000e-02,
-1.1682000e-01,-1.00000e-02,
-1.1679999e-01,-1.00000e-02,
-1.1677999e-01,-1.00000e-02,
-1.1675999e-01,-1.00000e-02,
-1.1674000e-01,-1.00000e-02,
-1.1672000e-01,-1.00000e-02,
-1.1670000e-01,-1.00000e-02,
-1.1667999e-01,-1.20000e-02,
-1.1665999e-01,-1.00000e-02,
-1.1663999e-01,-1.00000e-02,
-1.1662000e-01,-1.00000e-02,
-1.1660000e-01,-1.00000e-02,
-1.1657999e-01,-1.00000e-02,
-1.1655999e-01,-1.00000e-02,
-1.1653999e-01,-1.00000e-02,
-1.1652000e-01,-8.00000e-03,
